Aquifer ID,Region,Current (Million cubic meters),,,
AQF005    ,1     ,361.9                         ,,,
AQF006    ,1     ,55.4                          ,,,
AQF007    ,1     ,88.7                          ,,,
AQF008    ,1     ,258                           ,,,
AQF009    ,1     ,785                           ,,,
AQF010    ,1     ,649                           ,,,
AQF011    ,1     ,325                           ,,,
AQF012    ,1     ,856                           ,,,
AQF013    ,2     ,168.1                         ,,,
AQF014    ,2     ,322.6                         ,,,
AQF015    ,3     ,197.0                         ,,,
AQF016    ,4     ,111.1                         ,,,
AQF017    ,4     ,42.4                          ,,,
AQF018    ,4     ,50.1                          ,,,
AQF019    ,4     ,37.3                          ,,,
AQF020    ,5     ,150.6                         ,,,
AQF021    ,5     ,159.9                         ,,,
AQF022    ,5     ,17.6                          ,,,
AQF023    ,5     ,362.1                         ,,,
AQF024    ,6     ,167.5                         ,,,
AQF025    ,7     ,53.9                          ,,,
AQF026    ,8     ,90.5                          ,,,
AQF027    ,9     ,140.6                         ,,,
AQF028    ,10    ,9.7                           ,,,
AQF029    ,11    ,57.0                          ,,,
AQF030    ,12    ,133.1                         ,,,
AQF031    ,13    ,4.7                           ,,,
AQF032    ,13    ,66.0                          ,,,
